session,agent A,agent B,profile A,profile B,utility A,utility B,agreement
0001_negotiation,Boulware,Conceder,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,1.0,0.559,True
0002_negotiation,Conceder,Boulware,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.511,0.97,True
0003_negotiation,Boulware,Hardliner,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.475,0.9750000000000001,True
0004_negotiation,Hardliner,Boulware,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,1.0,0.559,True
0005_negotiation,Boulware,Linear,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.9610000000000001,0.5840000000000001,True
0006_negotiation,Linear,Boulware,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.55,0.9450000000000001,True
0007_negotiation,Boulware,RandomParty,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.94,0.619,True
0008_negotiation,RandomParty,Boulware,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.646,0.94,True
0009_negotiation,Hardliner,Conceder,profiles/fitness/fitness2.json,profiles/fitness/fitness1.json,0.9750000000000001,0.475,True
0010_negotiation,Conceder,Hardliner,profiles/fitness/fitness2.json,profiles/fitness/fitness1.json,0.559,1.0,True
0011_negotiation,Linear,Conceder,profiles/fitness/fitness2.json,profiles/fitness/fitness1.json,0.8900000000000001,0.721,True
0012_negotiation,Conceder,Linear,profiles/fitness/fitness2.json,profiles/fitness/fitness1.json,0.669,0.865,True
0013_negotiation,Conceder,RandomParty,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.7954999999999999,0.639,True
0014_negotiation,RandomParty,Conceder,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.745,0.855,True
0015_negotiation,Linear,Hardliner,profiles/fitness/fitness2.json,profiles/fitness/fitness1.json,0.559,1.0,True
0016_negotiation,Hardliner,Linear,profiles/fitness/fitness2.json,profiles/fitness/fitness1.json,0.9750000000000001,0.475,True
0017_negotiation,Hardliner,RandomParty,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.0,0.0,False
0018_negotiation,RandomParty,Hardliner,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.0,0.0,False
0019_negotiation,Linear,RandomParty,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.94,0.619,True
0020_negotiation,RandomParty,Linear,profiles/fitness/fitness1.json,profiles/fitness/fitness2.json,0.646,0.94,True
0021_negotiation,Boulware,Conceder,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.327,1.0000000000000002,True
0022_negotiation,Conceder,Boulware,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.327,1.0000000000000002,True
0023_negotiation,Boulware,Hardliner,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.327,1.0000000000000002,True
0024_negotiation,Hardliner,Boulware,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.9730000000000001,0.7433000000000001,True
0025_negotiation,Boulware,Linear,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.327,1.0000000000000002,True
0026_negotiation,Linear,Boulware,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.327,1.0000000000000002,True
0027_negotiation,Boulware,RandomParty,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.9730000000000001,0.7433000000000001,True
0028_negotiation,RandomParty,Boulware,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.718,0.7433000000000001,True
0029_negotiation,Hardliner,Conceder,profiles/japantrip/japantrip2.json,profiles/japantrip/japantrip1.json,1.0000000000000002,0.327,True
0030_negotiation,Conceder,Hardliner,profiles/japantrip/japantrip2.json,profiles/japantrip/japantrip1.json,0.7433000000000001,0.9730000000000001,True
0031_negotiation,Linear,Conceder,profiles/japantrip/japantrip2.json,profiles/japantrip/japantrip1.json,1.0000000000000002,0.327,True
0032_negotiation,Conceder,Linear,profiles/japantrip/japantrip2.json,profiles/japantrip/japantrip1.json,1.0000000000000002,0.327,True
0033_negotiation,Conceder,RandomParty,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.837,0.8933000000000001,True
0034_negotiation,RandomParty,Conceder,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.7789999999999999,0.6400000000000001,True
0035_negotiation,Linear,Hardliner,profiles/japantrip/japantrip2.json,profiles/japantrip/japantrip1.json,0.0,0.0,False
0036_negotiation,Hardliner,Linear,profiles/japantrip/japantrip2.json,profiles/japantrip/japantrip1.json,1.0000000000000002,0.327,True
0037_negotiation,Hardliner,RandomParty,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,1.0,0.73,True
0038_negotiation,RandomParty,Hardliner,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.0,0.0,False
0039_negotiation,Linear,RandomParty,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.9460000000000001,0.7566,True
0040_negotiation,RandomParty,Linear,profiles/japantrip/japantrip1.json,profiles/japantrip/japantrip2.json,0.8270000000000001,0.6066,True
